SampleCode,SampleType,AVG_Norm,contIndex
587705,Pancreas,516.444958,0.02143
587707,Pancreas,315.532235,0.01757
636008,Pancreas,366.6217953,0.01746
636009,Pancreas,743.0889828,0.02442
636010,Pancreas,170.6992922,0.02032
636834,Pancreas,157.8517507,0.02195
587710,Pancreas,514.639744,0.01579
587711,Pancreas,444.1293606,0.01951
636011,Pancreas,325.3738921,0.01922
636012,Pancreas,214.5251587,0.02216
587713,Pancreas,473.5656332,0.01687
636013,Pancreas,219.8971614,0.02215
636014,Pancreas,580.3957954,0.02214
587712,Pancreas,644.6626438,0.02687
636792,Sarcomatiod,1304.087874,0.02278
636117,Sarcomatiod,77.13127079,0.02101
636052,Sarcomatiod,123.1054604,0.02267
636856,Sarcomatiod,724.1499815,0.0206
636016,Sarcomatiod,346.7058759,0.02293
636118,Sarcomatiod,332.245002,0.02009
636085,Sarcomatiod,155.72942,0.01502
636017,Sarcomatiod,336.2377444,0.02117
588263,Sarcomatiod,196.6642961,0.02568
587721,Skin,291.3302685,0.0239
587714,Skin,198.7850364,0.01646
587715,Skin,121.0711648,0.02204
587720,Skin,299.5922021,0.02068
587722,Skin,454.579447,0.02852
636201,Skin,99.6586233,0.0796
636086,Skin,533.5768783,0.0216
587724,Skin,352.4652483,0.02984
587730,Skin,244.9387021,0.02022
636815,Skin,263.4959156,0.02063
587804,Skin,290.528151,0.02803
586988,Skin,300.0074972,0.02857
639180,Skin,379.6170079,0.03331
636875,Skin,733.7950006,0.02671
586990,Skin,373.7305298,0.02834
587731,Skin,224.5554265,0.02437
586992,Skin,206.4274213,0.02988
636864,Skin,547.0710862,0.0211
636847,Skin,561.8709935,0.02489
636442,Skin,615.1876826,0.02464
636087,Skin,666.9653397,0.01889
639181,Skin,484.0893523,0.02636
587732,Skin,469.280204,0.03304
636807,Skin,969.4405449,0.02414
636865,Skin,887.8841409,0.02168
636143,Skin,350.1257009,0.02809
636088,Skin,1069.004439,0.02413
587734,Skin,781.6351156,0.04023
636102,Skin,206.569481,0.02196
636155,Skin,304.8963235,0.01715
587735,Skin,164.3384258,0.01449
586994,Skin,353.144197,0.08007
587003,Skin,484.4285036,0.03116
587736,Skin,502.0280369,0.01688
636848,Skin,252.7674089,0.02023
586995,Skin,117.7504698,0.01962
636089,Skin,256.0759621,0.02254
587739,Skin,154.0173674,0.02013
586996,Skin,429.3824724,0.02121
636090,Skin,350.9246198,0.03638
587741,Skin,218.3430636,0.01645
586998,Skin,369.326944,0.01662
587744,Skin,468.9213831,0.02012
636103,Skin,439.2311356,0.01983
587742,Skin,166.3587055,0.0189
639184,Skin,276.2767801,0.02158
587001,Skin,377.5509251,0.01895
639185,Skin,482.2400235,0.02568
587745,Skin,1034.189465,0.02656
636144,Skin,362.8244139,0.02283
587746,Skin,312.1980506,0.01978
636098,Skin,119.512091,0.026
636440,Skin,422.9575842,0.02356
636782,Skin,198.2281438,0.02285
587011,Stomach,503.0281975,0.02762
587005,Stomach,764.2031625,0.0225
587026,Stomach,237.5921319,0.02069
587012,Stomach,329.52404,0.01948
636885,Stomach,228.4691287,0.01954
587010,Stomach,245.2061298,0.01895
587027,Stomach,144.5707865,0.02302
639155,Stomach,164.8807287,0.03074
636145,Stomach,265.0572915,0.02514
587019,Stomach,253.8177446,0.01939
